India/Category,Total,Surfaced-Total (A),Surfaced-W.B.M.,Surfaced-B.T./C.C,Unsurfaced-Total (B),Unsurfaced-Motorable,Unsurfaced-Non-Motorable
PWD Roads,1208526,1082578,106079,976498,125948,93755,32193
PWD Roads- National Highways,70934,70934,0,70934,0,0,0
PWD Roads- State Highways,160177,158202,1550,156652,1975,1566,409
PWD Roads- Other PWD Roads,977414,853441,104529,748912,123973,92189,31784
Rural Roads,1792535,813019,203951,334737,819250,345411,457239
Rural Roads- Panchayati Raj Roads (Zilla Parishad/ Village Panchayat / CD/ Panchayat Samiti Roads),1518205,538689,203951,334737,819250,345411,457239
Rural Roads- PMGSY Roads,274330,274330,NA,NA,0,0,0
Urban Roads,402447,279712,36099,243614,122735,81625,41110
Urban Roads- Municipal Roads,376028,255081,33727,221353,120947,80158,40789
Urban Roads- MES Roads,15243,15046,640,14406,197,194,3
Urban Roads- Railway Roads,9930,8412,1669,6743,1518,1252,266
Urban Roads- Major Port Roads,851,834,15,819,17,8,9
Urban Roads- Minor Port Roads,395,340,48,292,55,12,43
Project Roads,278932,74302,31138,43164,204629,121488,83141
Project Roads- Forest Department Roads,155281,25866,12492,13374,129415,80411,49004
Project Roads- Irrigation Department Roads,82715,26303,14649,11654,56412,24860,31552
Project Roads- Electricity Department Roads,4917,4474,917,3557,443,350,93
Project Roads- Sugarcane Authority Roads,30637,12625,2447,10178,18012,15561,2451
Project Roads- Coal Mine Roads,2620,2481,402,2079,139,101,38
Project Roads- SAIL and NMDC Roads,2762,2553,230,2323,209,205,4
All India (Excluding JRY Roads),3682439,2249611,377267,1598013,1272562,642279,613683
